,Longitude,Latitude,IsoTime,AppliedRate,ControlRate,Variety,DISTANCE,Heading
1,988.5402434,617.7062426,2018-05-20T18:50:11.000Z,24997.43212,25000,4296 vt2p,2.66307946,167.3613281
2,988.3954358,617.465213,2018-05-20T18:50:11.200Z,24997.43212,25000,4296 vt2p,0.82580912,166.8613281
3,989.1215152,615.9074149,2018-05-20T18:50:12.200Z,13432.86542,25000,4296 vt2p,5.45179337,170.6213281
4,989.7790498,614.3622825,2018-05-20T18:50:13.199Z,20784.65459,25000,4296 vt2p,5.35336817,174.2913281
5,990.3812909,612.8058462,2018-05-20T18:50:14.199Z,22395.30344,25000,4296 vt2p,5.25494298,177.9613281
6,990.6215947,611.2182809,2018-05-20T18:50:15.200Z,24722.24588,25000,4296 vt2p,5.25494298,180.2213281
7,990.7490941,609.5842636,2018-05-20T18:50:16.200Z,25404.81567,25000,4296 vt2p,5.41898497,181.8613281
8,990.8017629,607.9596013,2018-05-20T18:50:17.199Z,25268.5715,25000,4296 vt2p,5.38617657,182.9913281
9,990.7042726,606.3550819,2018-05-20T18:50:18.200Z,24993.38526,25000,4296 vt2p,5.32055977,183.5913281
10,990.7014613,604.6119145,2018-05-20T18:50:19.200Z,24554.97582,25000,4296 vt2p,5.77987736,184.8913281
11,990.4421609,602.6536805,2018-05-20T18:50:20.199Z,24165.12865,25000,4296 vt2p,6.50166214,184.5813281
12,990.2116204,600.8340014,2018-05-20T18:50:21.200Z,24232.57626,25000,4296 vt2p,6.04234455,183.6813281
13,990.011171,599.0420216,2018-05-20T18:50:22.199Z,24351.28405,25000,4296 vt2p,5.97672775,181.2813281
14,989.384727,597.2006648,2018-05-20T18:50:23.199Z,24465.94498,25000,4296 vt2p,6.20638655,178.9413281
15,989.6756709,595.2523247,2018-05-20T18:50:24.200Z,24503.71564,25000,4296 vt2p,6.50166214,179.3513281
16,989.7413186,593.3167653,2018-05-20T18:50:25.199Z,24457.85126,25000,4296 vt2p,6.43604534,176.3313281
17,989.4105863,591.3417682,2018-05-20T18:50:26.199Z,25319.83168,25666.65215,4296 vt2p,6.60008733,174.5213281
18,989.8692976,589.4428492,2018-05-20T18:50:27.199Z,25137.72314,25666.65215,4296 vt2p,6.43604534,174.7213281
19,989.8444989,587.1663323,2018-05-20T18:50:28.199Z,24935.38032,25666.65215,4296 vt2p,7.81399809,174.9113281
20,990.6162905,584.8770409,2018-05-20T18:50:29.198Z,24026.18658,25999.97822,4296 vt2p,7.6827645,178.7713281
21,990.9425536,582.558135,2018-05-20T18:50:30.200Z,24680.42837,25999.97822,4296 vt2p,7.7483813,179.7013281
22,990.9861216,580.1945417,2018-05-20T18:50:31.200Z,25369.74291,25999.97822,4296 vt2p,7.81399809,179.5213281
23,990.781971,577.8718403,2018-05-20T18:50:32.199Z,25538.36193,26500.03478,4296 vt2p,7.7155729,179.3513281
24,991.06964,575.7882321,2018-05-20T18:50:33.199Z,26456.99834,26500.03478,4296 vt2p,6.99378812,180.2613281
25,991.1888283,573.3279954,2018-05-20T18:50:34.199Z,26533.88861,26500.03478,4296 vt2p,8.10927369,180.5213281
26,991.1269429,571.0120149,2018-05-20T18:50:35.199Z,26520.39909,26500.03478,4296 vt2p,7.6499561,180.1313281
27,991.1440344,568.6996636,2018-05-20T18:50:36.199Z,26466.441,26500.03478,4296 vt2p,7.6827645,180.2613281
28,991.0751621,566.3519839,2018-05-20T18:50:37.199Z,26625.61736,26500.03478,4296 vt2p,7.7483813,180.0413281
29,991.1081087,564.0835243,2018-05-20T18:50:38.199Z,26612.12783,26500.03478,4296 vt2p,7.48591411,180.0513281
30,991.1071505,561.7661759,2018-05-20T18:50:39.199Z,26612.12783,26500.03478,4296 vt2p,7.6499561,179.9113281
31,991.1856916,559.4496667,2018-05-20T18:50:40.200Z,26609.42993,26500.03478,4296 vt2p,7.6499561,179.6013281
32,991.0814833,557.1180746,2018-05-20T18:50:41.199Z,26617.52364,26500.03478,4296 vt2p,7.6827645,179.0413281
33,991.1959198,554.8011316,2018-05-20T18:50:42.200Z,26558.16975,26500.03478,4296 vt2p,7.6499561,179.7113281
34,991.2390737,552.3916856,2018-05-20T18:50:43.199Z,26417.87873,25999.97822,4296 vt2p,7.94523169,180.2113281
35,991.3026977,550.0238219,2018-05-20T18:50:44.198Z,26200.69743,25999.97822,4296 vt2p,7.81399809,180.3313281
36,991.295576,547.6899464,2018-05-20T18:50:45.199Z,26287.03037,25999.97822,4296 vt2p,7.7155729,179.8213281
37,991.2700385,545.3142872,2018-05-20T18:50:46.199Z,26179.1142,25999.97822,4296 vt2p,7.84680649,179.4013281
38,991.2388884,542.9064085,2018-05-20T18:50:47.199Z,26126.50506,25999.97822,4296 vt2p,7.94523169,179.6513281
39,991.3643849,540.5319872,2018-05-20T18:50:48.199Z,26125.15611,25999.97822,4296 vt2p,7.84680649,180.3413281
40,991.3731817,538.2310465,2018-05-20T18:50:49.200Z,26030.72946,25999.97822,4296 vt2p,7.5843393,180.0413281
41,991.3591044,535.7874691,2018-05-20T18:50:50.199Z,25844.57407,25666.65215,4296 vt2p,8.04365689,179.5513281
42,991.3831971,533.4003614,2018-05-20T18:50:51.199Z,26022.63575,25666.65215,4296 vt2p,7.87961489,179.5413281
43,991.3460711,531.0266198,2018-05-20T18:50:52.199Z,26137.29668,25666.65215,4296 vt2p,7.84680649,179.5713281
44,991.4413321,528.6465072,2018-05-20T18:50:53.199Z,26057.7085,25666.65215,4296 vt2p,7.84680649,180.3613281
45,991.5082994,526.2780111,2018-05-20T18:50:54.199Z,26022.63575,25666.65215,4296 vt2p,7.81399809,180.3213281
46,991.4607239,523.8928057,2018-05-20T18:50:55.199Z,25933.60491,25666.65215,4296 vt2p,7.87961489,179.6113281
47,991.4525942,521.4730562,2018-05-20T18:50:56.200Z,25955.18814,25666.65215,4296 vt2p,7.97804009,179.2913281
48,991.4408501,519.1824948,2018-05-20T18:50:57.199Z,25936.30281,25666.65215,4296 vt2p,7.5515309,179.2413281
49,991.5057046,516.6740973,2018-05-20T18:50:58.200Z,25887.74053,25666.65215,4296 vt2p,8.27331568,179.8013281
50,991.6060661,514.3008038,2018-05-20T18:50:59.199Z,25898.53215,25666.65215,4296 vt2p,7.81399809,179.9913281
51,991.6003484,511.8948698,2018-05-20T18:51:00.200Z,25862.11044,25666.65215,4296 vt2p,7.94523169,179.6313281
52,991.6314413,509.4875769,2018-05-20T18:51:01.200Z,25767.68379,25666.65215,4296 vt2p,7.94523169,179.4813281
53,991.6016735,507.0625524,2018-05-20T18:51:02.199Z,25767.68379,25666.65215,4296 vt2p,8.01084849,179.4213281
54,991.6991473,504.7035829,2018-05-20T18:51:03.200Z,25662.46553,25666.65215,4296 vt2p,7.7811897,180.0013281
55,991.8000822,502.3249728,2018-05-20T18:51:04.199Z,25669.21029,25666.65215,4296 vt2p,7.84680649,180.0213281
56,991.7632919,499.9131942,2018-05-20T18:51:05.199Z,25744.75161,25666.65215,4296 vt2p,7.94523169,179.6413281
57,991.7657397,497.4721035,2018-05-20T18:51:06.199Z,25708.3299,25999.97822,4296 vt2p,8.04365689,179.6713281
58,991.8548844,495.0812861,2018-05-20T18:51:07.199Z,25623.34591,25999.97822,4296 vt2p,7.87961489,179.9713281
